star_mass,log_L,effective_T,radius_cm,X
1.0000000000000000E+001,3.9063830325904334E+000,2.8116011991963904E+004,2.6371793881454691E+011,0
1.0400000000000000E+001,3.9576968508087029E+000,2.8605988221288117E+004,2.7026518886656921E+011,0
1.0800000000000001E+001,4.0066111188113842E+000,2.9081371669967652E+004,2.7665045053745099E+011,0
1.1199999999999999E+001,4.0541145674911974E+000,2.9532803204025109E+004,2.8333716037224457E+011,0
1.1400000000000000E+001,4.0763239271621696E+000,2.9761996028953563E+004,2.8621569880027643E+011,0
1.1600000000000000E+001,4.0992028662030160E+000,2.9978266959247816E+004,2.8963029314427283E+011,0
8.0000000000000000E+000,3.6078704478693968E+000,2.5420157909860602E+004,2.2878857428494235E+011,0
8.4000000000000004E+000,3.6736841015873907E+000,2.6000053352650219E+004,2.3591153077240759E+011,0
8.8000000000000007E+000,3.7364270054601341E+000,2.6555007496317423E+004,2.4309512082296939E+011,0
9.1999999999999993E+000,3.7960213175769928E+000,2.7093418907831754E+004,2.5011436238985147E+011,0
9.5999999999999996E+000,3.8527227745786687E+000,2.7611356787829493E+004,2.5706413419398264E+011,0
1.0000000000000000E+000,1.0822057048667438E-001,5.6978999132080598E+003,6.3141613893547203E+010,1
1.0000000000000000E+001,3.8549012551970607E+000,2.4045767191783936E+004,3.3980436061158917E+011,1
1.0400000000000000E+001,3.9098929969621072E+000,2.4529990335091068E+004,3.4786228105510150E+011,1
1.0800000000000001E+001,3.9618448925267371E+000,2.5007493955222028E+004,3.5533476307356909E+011,1
1.1199999999999999E+001,4.0115590058551973E+000,2.5464335102264795E+004,3.6288617031271857E+011,1
8.0000000000000000E+000,3.5356598685652059E+000,2.1329053777074485E+004,2.9904899826891602E+011,1
8.4000000000000004E+000,3.6063482553885717E+000,2.1910903396747366E+004,3.0740374613253760E+011,1
9.1999999999999993E+000,3.7373589750408134E+000,2.3013726769534558E+004,3.2401206232155554E+011,1
9.5999999999999996E+000,3.7976546182945237E+000,2.3534550289100618E+004,3.3210169893540509E+011,1
1.1600000000000000E+001,4.0590322793980649E+000,2.5913253717897704E+004,3.7010746203015350E+011,1
1.1400000000000000E+001,4.0356417747286590E+000,2.5689690111288521E+004,3.6657154715057880E+011,1
