Ran for I = 95.000, e0=0.003, amp=0.685
Ran for I = 95.040, e0=0.003, amp=0.695
Ran for I = 95.080, e0=0.003, amp=0.706
Ran for I = 95.120, e0=0.003, amp=0.716
Ran for I = 95.160, e0=0.003, amp=0.726
Ran for I = 95.200, e0=0.003, amp=0.707
Ran for I = 95.240, e0=0.003, amp=0.744
Ran for I = 95.280, e0=0.003, amp=0.758
Ran for I = 95.320, e0=0.003, amp=0.769
Ran for I = 95.360, e0=0.003, amp=0.779
Ran for I = 95.400, e0=0.003, amp=0.790
Ran for I = 95.440, e0=0.003, amp=0.801
Ran for I = 95.480, e0=0.003, amp=0.811
Ran for I = 95.521, e0=0.003, amp=0.823
Ran for I = 95.561, e0=0.003, amp=0.834
Ran for I = 95.601, e0=0.003, amp=0.845
Ran for I = 95.641, e0=0.003, amp=0.854
Ran for I = 95.681, e0=0.003, amp=0.867
Ran for I = 95.721, e0=0.003, amp=0.878
Ran for I = 95.761, e0=0.003, amp=0.889
Ran for I = 95.801, e0=0.003, amp=0.901
Ran for I = 95.841, e0=0.003, amp=0.912
Ran for I = 95.881, e0=0.003, amp=0.924
Ran for I = 95.921, e0=0.003, amp=0.934
Ran for I = 95.961, e0=0.003, amp=0.947
Ran for I = 96.001, e0=0.003, amp=0.958
Ran for I = 96.041, e0=0.003, amp=0.970
Ran for I = 96.081, e0=0.003, amp=0.982
Ran for I = 96.121, e0=0.003, amp=0.993
Ran for I = 96.161, e0=0.003, amp=1.005
Ran for I = 96.201, e0=0.003, amp=1.017
Ran for I = 96.241, e0=0.003, amp=1.027
Ran for I = 96.281, e0=0.003, amp=1.030
Ran for I = 96.321, e0=0.003, amp=1.053
Ran for I = 96.361, e0=0.003, amp=1.065
Ran for I = 96.401, e0=0.003, amp=1.077
Ran for I = 96.441, e0=0.003, amp=1.089
Ran for I = 96.481, e0=0.003, amp=1.101
Ran for I = 96.522, e0=0.003, amp=1.114
Ran for I = 96.562, e0=0.003, amp=1.126
Ran for I = 96.602, e0=0.003, amp=1.138
Ran for I = 96.642, e0=0.003, amp=1.150
Ran for I = 96.682, e0=0.003, amp=1.163
Ran for I = 96.722, e0=0.003, amp=1.175
