Ran for I = 95.000, e0=0.003, amp=0.057
Ran for I = 95.040, e0=0.003, amp=0.057
Ran for I = 95.080, e0=0.003, amp=0.057
Ran for I = 95.120, e0=0.003, amp=0.057
Ran for I = 95.160, e0=0.003, amp=0.057
Ran for I = 95.200, e0=0.003, amp=0.057
Ran for I = 95.240, e0=0.003, amp=0.055
Ran for I = 95.280, e0=0.003, amp=0.056
Ran for I = 95.320, e0=0.003, amp=0.056
Ran for I = 95.360, e0=0.003, amp=0.056
Ran for I = 95.400, e0=0.003, amp=0.056
Ran for I = 95.440, e0=0.003, amp=0.056
Ran for I = 95.480, e0=0.003, amp=0.056
Ran for I = 95.521, e0=0.003, amp=0.056
Ran for I = 95.561, e0=0.003, amp=0.056
Ran for I = 95.601, e0=0.003, amp=0.056
Ran for I = 95.641, e0=0.003, amp=0.056
Ran for I = 95.681, e0=0.003, amp=0.056
Ran for I = 95.721, e0=0.003, amp=0.056
Ran for I = 95.761, e0=0.003, amp=0.056
Ran for I = 95.801, e0=0.003, amp=0.056
Ran for I = 95.841, e0=0.003, amp=0.055
Ran for I = 95.881, e0=0.003, amp=0.055
Ran for I = 95.921, e0=0.003, amp=0.055
Ran for I = 95.961, e0=0.003, amp=0.055
Ran for I = 96.001, e0=0.003, amp=0.055
Ran for I = 96.041, e0=0.003, amp=0.055
Ran for I = 96.081, e0=0.003, amp=0.055
Ran for I = 96.121, e0=0.003, amp=0.055
Ran for I = 96.161, e0=0.003, amp=0.055
Ran for I = 96.201, e0=0.003, amp=0.055
Ran for I = 96.241, e0=0.003, amp=0.055
Ran for I = 96.281, e0=0.003, amp=0.055
Ran for I = 96.321, e0=0.003, amp=0.055
Ran for I = 96.361, e0=0.003, amp=0.055
Ran for I = 96.401, e0=0.003, amp=0.055
Ran for I = 96.441, e0=0.003, amp=0.055
Ran for I = 96.481, e0=0.003, amp=0.055
Ran for I = 96.522, e0=0.003, amp=0.055
Ran for I = 96.562, e0=0.003, amp=0.053
Ran for I = 96.602, e0=0.003, amp=0.054
Ran for I = 96.642, e0=0.003, amp=0.055
Ran for I = 96.682, e0=0.003, amp=0.055
Ran for I = 96.722, e0=0.003, amp=0.055
Ran for I = 96.762, e0=0.003, amp=0.054
Ran for I = 96.802, e0=0.003, amp=0.054
Ran for I = 96.842, e0=0.003, amp=0.054
Ran for I = 96.882, e0=0.003, amp=0.054
Ran for I = 96.922, e0=0.003, amp=0.054
Ran for I = 96.962, e0=0.003, amp=0.054
Ran for I = 97.002, e0=0.003, amp=0.054
Ran for I = 97.042, e0=0.003, amp=0.054
Ran for I = 97.082, e0=0.003, amp=0.054
Ran for I = 97.122, e0=0.003, amp=0.054
Ran for I = 97.162, e0=0.003, amp=0.054
Ran for I = 97.202, e0=0.003, amp=0.054
Ran for I = 97.242, e0=0.003, amp=0.054
Ran for I = 97.282, e0=0.003, amp=0.054
Ran for I = 97.322, e0=0.003, amp=0.054
Ran for I = 97.362, e0=0.003, amp=0.054
Ran for I = 97.402, e0=0.003, amp=0.054
Ran for I = 97.442, e0=0.003, amp=0.054
Ran for I = 97.482, e0=0.003, amp=0.054
Ran for I = 97.523, e0=0.003, amp=0.054
Ran for I = 97.563, e0=0.003, amp=0.054
Ran for I = 97.603, e0=0.003, amp=0.054
Ran for I = 97.643, e0=0.003, amp=0.054
Ran for I = 97.683, e0=0.003, amp=0.054
Ran for I = 97.723, e0=0.003, amp=0.054
Ran for I = 97.763, e0=0.003, amp=0.054
Ran for I = 97.803, e0=0.003, amp=0.054
Ran for I = 97.843, e0=0.003, amp=0.054
Ran for I = 97.883, e0=0.003, amp=0.054
Ran for I = 97.923, e0=0.003, amp=0.054
Ran for I = 97.963, e0=0.003, amp=0.054
Ran for I = 98.003, e0=0.003, amp=0.054
Ran for I = 98.043, e0=0.003, amp=0.054
Ran for I = 98.083, e0=0.003, amp=0.054
Ran for I = 98.123, e0=0.003, amp=0.054
Ran for I = 98.163, e0=0.003, amp=0.054
Ran for I = 98.203, e0=0.003, amp=0.054
Ran for I = 98.243, e0=0.003, amp=0.054
Ran for I = 98.283, e0=0.003, amp=0.054
Ran for I = 98.323, e0=0.003, amp=0.054
Ran for I = 98.363, e0=0.003, amp=0.054
Ran for I = 98.403, e0=0.003, amp=0.054
Ran for I = 98.443, e0=0.003, amp=0.054
Ran for I = 98.483, e0=0.003, amp=0.054
Ran for I = 98.524, e0=0.003, amp=0.054
Ran for I = 98.564, e0=0.003, amp=0.054
Ran for I = 98.604, e0=0.003, amp=0.054
Ran for I = 98.644, e0=0.003, amp=0.054
Ran for I = 98.684, e0=0.003, amp=0.054
Ran for I = 98.724, e0=0.003, amp=0.054
Ran for I = 98.764, e0=0.003, amp=0.054
Ran for I = 98.804, e0=0.003, amp=0.054
Ran for I = 98.844, e0=0.003, amp=0.054
Ran for I = 98.884, e0=0.003, amp=0.054
Ran for I = 98.924, e0=0.003, amp=0.053
Ran for I = 98.964, e0=0.003, amp=0.051
Ran for I = 99.004, e0=0.003, amp=0.051
Ran for I = 99.044, e0=0.003, amp=0.054
Ran for I = 99.084, e0=0.003, amp=0.054
Ran for I = 99.124, e0=0.003, amp=0.054
Ran for I = 99.164, e0=0.003, amp=0.054
Ran for I = 99.204, e0=0.003, amp=0.054
Ran for I = 99.244, e0=0.003, amp=0.054
Ran for I = 99.284, e0=0.003, amp=0.054
Ran for I = 99.324, e0=0.003, amp=0.054
Ran for I = 99.364, e0=0.003, amp=0.054
Ran for I = 99.404, e0=0.003, amp=0.054
Ran for I = 99.444, e0=0.003, amp=0.054
Ran for I = 99.484, e0=0.003, amp=0.054
Ran for I = 99.525, e0=0.003, amp=0.054
Ran for I = 99.565, e0=0.003, amp=0.054
Ran for I = 99.605, e0=0.003, amp=0.054
Ran for I = 99.645, e0=0.003, amp=0.054
Ran for I = 99.685, e0=0.003, amp=0.054
Ran for I = 99.725, e0=0.003, amp=0.054
Ran for I = 99.765, e0=0.003, amp=0.054
Ran for I = 99.805, e0=0.003, amp=0.054
Ran for I = 99.845, e0=0.003, amp=0.054
Ran for I = 99.885, e0=0.003, amp=0.054
Ran for I = 99.925, e0=0.003, amp=0.054
Ran for I = 99.965, e0=0.003, amp=0.054
Ran for I = 100.005, e0=0.003, amp=0.054
Ran for I = 100.045, e0=0.003, amp=0.054
Ran for I = 100.085, e0=0.003, amp=0.054
Ran for I = 100.125, e0=0.003, amp=0.054
Ran for I = 100.165, e0=0.003, amp=0.055
Ran for I = 100.205, e0=0.003, amp=0.055
Ran for I = 100.245, e0=0.003, amp=0.055
Ran for I = 100.285, e0=0.003, amp=0.054
Ran for I = 100.325, e0=0.003, amp=0.055
Ran for I = 100.365, e0=0.003, amp=0.055
Ran for I = 100.405, e0=0.003, amp=0.055
Ran for I = 100.445, e0=0.003, amp=0.055
Ran for I = 100.485, e0=0.003, amp=0.055
Ran for I = 100.526, e0=0.003, amp=0.055
Ran for I = 100.566, e0=0.003, amp=0.055
Ran for I = 100.606, e0=0.003, amp=0.055
Ran for I = 100.646, e0=0.003, amp=0.055
Ran for I = 100.686, e0=0.003, amp=0.055
Ran for I = 100.726, e0=0.003, amp=0.055
Ran for I = 100.766, e0=0.003, amp=0.055
Ran for I = 100.806, e0=0.003, amp=0.055
Ran for I = 100.846, e0=0.003, amp=0.055
Ran for I = 100.886, e0=0.003, amp=0.055
Ran for I = 100.926, e0=0.003, amp=0.055
Ran for I = 100.966, e0=0.003, amp=0.055
Ran for I = 101.006, e0=0.003, amp=0.055
Ran for I = 101.046, e0=0.003, amp=0.055
Ran for I = 101.086, e0=0.003, amp=0.055
Ran for I = 101.126, e0=0.003, amp=0.055
Ran for I = 101.166, e0=0.003, amp=0.055
Ran for I = 101.206, e0=0.003, amp=0.055
Ran for I = 101.246, e0=0.003, amp=0.055
Ran for I = 101.286, e0=0.003, amp=0.055
Ran for I = 101.326, e0=0.003, amp=0.055
Ran for I = 101.366, e0=0.003, amp=0.055
Ran for I = 101.406, e0=0.003, amp=0.055
Ran for I = 101.446, e0=0.003, amp=0.055
Ran for I = 101.486, e0=0.003, amp=0.055
Ran for I = 101.527, e0=0.003, amp=0.055
Ran for I = 101.567, e0=0.003, amp=0.055
Ran for I = 101.607, e0=0.003, amp=0.055
Ran for I = 101.647, e0=0.003, amp=0.056
Ran for I = 101.687, e0=0.003, amp=0.056
Ran for I = 101.727, e0=0.003, amp=0.056
Ran for I = 101.767, e0=0.003, amp=0.056
Ran for I = 101.807, e0=0.003, amp=0.056
Ran for I = 101.847, e0=0.003, amp=0.056
Ran for I = 101.887, e0=0.003, amp=0.056
Ran for I = 101.927, e0=0.003, amp=0.056
Ran for I = 101.967, e0=0.003, amp=0.056
Ran for I = 102.007, e0=0.003, amp=0.055
Ran for I = 102.047, e0=0.003, amp=0.056
Ran for I = 102.087, e0=0.003, amp=0.056
